PlayerID,GameType,PlayerName,SkillLevel,ForehandAccuracy,BackhandAccuracy,Speed,Stamina,Reflexes,PositionalAwareness,Weakness,PreferredPosition,OpponentName,OpponentSkillLevel,CourtType,RallyLength,ShotsPerRally,WinningShotsRatio,Positioning,ServeStyle,TacticalApproach
20,Singles,PlayerT,Advanced,0.85,0.79,4.3,0.86,0.9,0.87,Stamina,Front,OpponentU,Intermediate,Clay,17,13,0.68,Front,Short,Quick net play with aggressive shots
21,Doubles,PlayerU,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentV,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
22,Singles,PlayerV,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentW,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
23,Doubles,PlayerW,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentX,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
24,Singles,PlayerX,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentY,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
25,Doubles,PlayerY,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentZ,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
26,Singles,PlayerZ,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentAA,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
27,Doubles,PlayerAA,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentAB,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
28,Singles,PlayerAB,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentAC,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
29,Doubles,PlayerAC,Intermediate,0.76,0.7,4.1,0.78,0.83,0.8,Backhand,Rear,OpponentAD,Beginner,Hard,15,10,0.6,Rear,Long,Balanced net and baseline strategies
30,Singles,PlayerAD,Advanced,0.85,0.79,4.3,0.86,0.9,0.87,Stamina,Front,OpponentAE,Intermediate,Clay,17,13,0.68,Front,Short,Quick net play with aggressive shots
31,Doubles,PlayerAE,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentAF,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
32,Singles,PlayerAF,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentAG,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
33,Doubles,PlayerAG,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentAH,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
34,Singles,PlayerAH,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentAI,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
35,Doubles,PlayerAI,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentAJ,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
36,Singles,PlayerAJ,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentAK,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
37,Doubles,PlayerAK,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentAL,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
38,Singles,PlayerAL,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentAM,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
40,Singles,PlayerUJ,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentUK,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
41,Doubles,PlayerAO,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentAP,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
42,Singles,PlayerAP,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentAQ,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
43,Doubles,PlayerAQ,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentAR,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
44,Singles,PlayerAR,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentAS,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
45,Doubles,PlayerAS,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentAT,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
46,Singles,PlayerAT,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentAU,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
47,Doubles,PlayerAU,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentAV,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
48,Singles,PlayerAV,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentAW,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
49,Doubles,PlayerAW,Intermediate,0.76,0.7,4.1,0.78,0.83,0.8,Backhand,Rear,OpponentAX,Beginner,Hard,15,10,0.6,Rear,Long,Balanced net and baseline strategies
50,Singles,PlayerAX,Advanced,0.85,0.79,4.3,0.86,0.9,0.87,Stamina,Front,OpponentAY,Intermediate,Clay,17,13,0.68,Front,Short,Quick net play with aggressive shots
51,Doubles,PlayerAY,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentAZ,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
52,Singles,PlayerAZ,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentBA,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
53,Doubles,PlayerBA,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentBB,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
54,Singles,PlayerBB,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentBC,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
55,Doubles,PlayerBC,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentBD,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
56,Singles,PlayerBD,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentBE,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
57,Doubles,PlayerBE,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentBF,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
58,Singles,PlayerBF,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentBG,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
59,Doubles,PlayerBG,Intermediate,0.76,0.7,4.1,0.78,0.83,0.8,Backhand,Rear,OpponentBH,Beginner,Hard,15,10,0.6,Rear,Long,Balanced net and baseline strategies
60,Singles,PlayerBH,Advanced,0.85,0.79,4.3,0.86,0.9,0.87,Stamina,Front,OpponentBI,Intermediate,Clay,17,13,0.68,Front,Short,Quick net play with aggressive shots
61,Doubles,PlayerBI,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentBJ,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
62,Singles,PlayerBJ,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentBK,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
63,Doubles,PlayerBK,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentBL,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
64,Singles,PlayerBL,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentBM,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
65,Doubles,PlayerBM,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentBN,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
66,Singles,PlayerBN,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentBO,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
67,Doubles,PlayerBO,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentBP,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
68,Singles,PlayerCH,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentCI,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
69,Doubles,PlayerCI,Intermediate,0.76,0.7,4.1,0.78,0.83,0.8,Backhand,Rear,OpponentCJ,Beginner,Hard,15,10,0.6,Rear,Long,Balanced net and baseline strategies
70,Singles,PlayerCJ,Advanced,0.85,0.79,4.3,0.86,0.9,0.87,Stamina,Front,OpponentCK,Intermediate,Clay,17,13,0.68,Front,Short,Quick net play with aggressive shots
71,Doubles,PlayerCK,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentCL,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
72,Singles,PlayerCL,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentCM,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
73,Doubles,PlayerCM,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentCN,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
74,Singles,PlayerCN,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentCO,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
75,Doubles,PlayerCO,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentCP,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
76,Singles,PlayerCP,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentCQ,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
77,Doubles,PlayerCQ,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentCR,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
78,Singles,PlayerCR,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentCS,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
79,Doubles,PlayerCS,Intermediate,0.76,0.7,4.1,0.78,0.83,0.8,Backhand,Rear,OpponentCT,Beginner,Hard,15,10,0.6,Rear,Long,Balanced net and baseline strategies
80,Singles,PlayerCT,Advanced,0.85,0.79,4.3,0.86,0.9,0.87,Stamina,Front,OpponentCU,Intermediate,Clay,17,13,0.68,Front,Short,Quick net play with aggressive shots
81,Doubles,PlayerCU,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentCV,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
82,Singles,PlayerCV,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentCW,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
84,Singles,PlayerCX,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentCY,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
85,Doubles,PlayerCY,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentCZ,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
86,Singles,PlayerCZ,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentDA,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
87,Doubles,PlayerDA,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentDB,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
88,Singles,PlayerDB,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentDC,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
89,Doubles,PlayerDC,Intermediate,0.76,0.7,4.1,0.78,0.83,0.8,Backhand,Rear,OpponentDD,Beginner,Hard,15,10,0.6,Rear,Long,Balanced net and baseline strategies
90,Singles,PlayerDD,Advanced,0.85,0.79,4.3,0.86,0.9,0.87,Stamina,Front,OpponentDE,Intermediate,Clay,17,13,0.68,Front,Short,Quick net play with aggressive shots
91,Doubles,PlayerDE,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentDF,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
92,Singles,PlayerDF,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentDG,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
93,Doubles,PlayerDG,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentDH,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
94,Singles,PlayerDH,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentDI,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
95,Doubles,PlayerDI,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentDJ,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
96,Singles,PlayerDJ,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentDK,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
97,Doubles,PlayerDK,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentDL,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
98,Singles,PlayerDL,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentDM,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
99,Doubles,PlayerDM,Intermediate,0.76,0.7,4.1,0.78,0.83,0.8,Backhand,Rear,OpponentDN,Beginner,Hard,15,10,0.6,Rear,Long,Balanced net and baseline strategies
100,Singles,PlayerDN,Advanced,0.85,0.79,4.3,0.86,0.9,0.87,Stamina,Front,OpponentDO,Intermediate,Clay,17,13,0.68,Front,Short,Quick net play with aggressive shots
101,Doubles,PlayerDO,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentDP,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
102,Singles,PlayerDP,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentDQ,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
103,Doubles,PlayerDQ,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentDR,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
104,Singles,PlayerDR,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentDS,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
105,Doubles,PlayerDS,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentDT,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
106,Singles,PlayerDT,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentDU,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
107,Doubles,PlayerDU,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentDV,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
108,Singles,PlayerDV,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentDW,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
109,Doubles,PlayerDW,Intermediate,0.76,0.7,4.1,0.78,0.83,0.8,Backhand,Rear,OpponentDX,Beginner,Hard,15,10,0.6,Rear,Long,Balanced net and baseline strategies
110,Singles,PlayerDX,Advanced,0.85,0.79,4.3,0.86,0.9,0.87,Stamina,Front,OpponentDY,Intermediate,Clay,17,13,0.68,Front,Short,Quick net play with aggressive shots
111,Doubles,PlayerDY,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentDZ,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
112,Singles,PlayerDZ,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentEA,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
113,Doubles,PlayerEA,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentEB,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
114,Singles,PlayerEB,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentEC,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
115,Doubles,PlayerEC,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentED,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
116,Singles,PlayerED,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentEE,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
117,Doubles,PlayerEE,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentEF,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
118,Singles,PlayerEF,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentEG,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
119,Doubles,PlayerEG,Intermediate,0.76,0.7,4.1,0.78,0.83,0.8,Backhand,Rear,OpponentEH,Beginner,Hard,15,10,0.6,Rear,Long,Balanced net and baseline strategies
120,Singles,PlayerEH,Advanced,0.85,0.79,4.3,0.86,0.9,0.87,Stamina,Front,OpponentEI,Intermediate,Clay,17,13,0.68,Front,Short,Quick net play with aggressive shots
121,Doubles,PlayerEI,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentEJ,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
122,Singles,PlayerEJ,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentEK,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
123,Doubles,PlayerEK,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentEL,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
124,Singles,PlayerEL,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentEM,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
125,Doubles,PlayerEM,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentEN,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
126,Singles,PlayerEN,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentEO,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
127,Doubles,PlayerEO,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentEP,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
128,Singles,PlayerEP,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentEQ,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
129,Doubles,PlayerEQ,Intermediate,0.76,0.7,4.1,0.78,0.83,0.8,Backhand,Rear,OpponentER,Beginner,Hard,15,10,0.6,Rear,Long,Balanced net and baseline strategies
130,Singles,PlayerER,Advanced,0.85,0.79,4.3,0.86,0.9,0.87,Stamina,Front,OpponentES,Intermediate,Clay,17,13,0.68,Front,Short,Quick net play with aggressive shots
131,Doubles,PlayerES,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentET,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
132,Singles,PlayerET,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentEU,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
133,Doubles,PlayerEU,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentEV,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
134,Singles,PlayerEV,Intermediate,0.76,0.71,4,0.78,0.83,0.8,Backhand,Rear,OpponentEW,Beginner,Hard,18,13,0.65,Rear,Long,Balanced approach with focus on opponent weaknesses
135,Doubles,PlayerEW,Advanced,0.85,0.78,4.5,0.85,0.89,0.87,Stamina,Front,OpponentEX,Intermediate,Grass,19,15,0.62,Front,Short,Quick net play and coordinated strategies
136,Singles,PlayerEX,Intermediate,0.78,0.73,4.2,0.8,0.85,0.82,Backhand,Rear,OpponentEY,Beginner,Clay,20,14,0.55,Rear,Long,Patient baseline game with focus on consistency
137,Doubles,PlayerEY,Advanced,0.87,0.81,4.4,0.86,0.91,0.88,None,Middle,OpponentEZ,Intermediate,Hard,22,18,0.73,Middle,Short,Aggressive net play with strategic court positioning
138,Singles,PlayerEZ,Expert,0.93,0.88,5,0.92,0.95,0.93,None,Middle,OpponentFA,Intermediate,Grass,19,12,0.8,Middle,Short,"Versatile gameplay, adapting to opponent's style"
139,Doubles,PlayerFA,Intermediate,0.76,0.7,4.1,0.78,0.83,0.8,Backhand,Rear,OpponentFB,Beginner,Hard,15,10,0.6,Rear,Long,Balanced net and baseline strategies
140,Singles,PlayerFB,Advanced,0.85,0.79,4.3,0.86,0.9,0.87,Stamina,Front,OpponentFC,Intermediate,Clay,17,13,0.68,Front,Short,Quick net play with aggressive shots
141,Doubles,PlayerFC,Intermediate,0.77,0.71,4.1,0.79,0.84,0.81,Backhand,Rear,OpponentFD,Beginner,Grass,17,12,0.58,Rear,Long,Strategic baseline play with net coverage
142,Singles,PlayerFD,Advanced,0.86,0.79,4.3,0.87,0.9,0.88,Stamina,Front,OpponentFE,Intermediate,Hard,16,11,0.72,Front,Short,Aggressive net play with fast serves
143,Doubles,PlayerFE,Expert,0.94,0.89,5.1,0.93,0.95,0.94,None,Middle,OpponentFF,Intermediate,Clay,23,19,0.78,Middle,Short,"Versatile gameplay, adapting to opponents"
